hidden_size,num_hidden_layers,num_attention_heads,intermediate_size,dropout_prob,learning_rate,batch_size,use_flash_attention,use_swiglu,use_rope,use_rms_norm,accuracy,f1,loss,perplexity,inference_time_ms,model_size_mb,total_parameters,final_train_loss
128,2,2,256,0.1,3e-05,32,True,True,True,True,0.578,0.42342712294043094,0.6830568246841431,1.9799207619414094,1.355123519897461,16.16663360595703,4237954,0.6903238072991371
128,2,2,256,0.1,3e-05,32,True,True,True,False,0.578,0.42342712294043094,0.6821295285224914,1.9780856400007512,1.2046575546264648,16.16907501220703,4238594,0.697517953813076
128,2,2,256,0.1,3e-05,32,True,False,True,True,0.578,0.42342712294043094,0.6887348833084106,1.991194845262116,1.0113716125488281,15.914680480957031,4171906,0.6983481273055077
128,2,2,256,0.1,3e-05,32,True,False,True,False,0.578,0.42342712294043094,0.6828173322677612,1.9794466427101338,1.002359390258789,15.917121887207031,4172546,0.6936870589852333
128,2,2,256,0.2,3e-05,32,True,True,True,True,0.578,0.42342712294043094,0.6845048890113831,1.9827898914082,1.455092430114746,16.16663360595703,4237954,0.6992263346910477
128,2,2,256,0.2,3e-05,32,True,True,True,False,0.578,0.42342712294043094,0.682868968963623,1.9795488574333908,1.1557579040527344,16.16907501220703,4238594,0.6864306628704071
128,2,2,256,0.2,3e-05,32,True,False,True,True,0.578,0.42342712294043094,0.6835929999351501,1.98098263110146,1.2537717819213867,15.914680480957031,4171906,0.7042377442121506
128,2,2,256,0.2,3e-05,32,True,False,True,False,0.578,0.42342712294043094,0.6829006776809693,1.9796116273837563,0.9532690048217773,15.917121887207031,4172546,0.6899719350039959
128,2,2,512,0.1,3e-05,32,True,True,True,True,0.578,0.42342712294043094,0.6828888368606567,1.979588187296963,1.7493247985839844,16.92053985595703,4435586,0.6977184005081654
128,2,2,512,0.1,3e-05,32,True,True,True,False,0.578,0.42342712294043094,0.6835054178237915,1.98080914005753,1.2569427490234375,16.92298126220703,4436226,0.6956088654696941
128,2,2,512,0.1,3e-05,32,True,False,True,True,0.578,0.42342712294043094,0.684187237739563,1.9821601557009116,1.757979393005371,16.41663360595703,4303490,0.6918908208608627
128,2,2,512,0.1,3e-05,32,True,False,True,False,0.578,0.42342712294043094,0.6819771819114685,1.9777843083111974,0.8551597595214844,16.41907501220703,4304130,0.6919898390769958
128,2,2,512,0.2,3e-05,32,True,True,True,True,0.578,0.42342712294043094,0.6841354656219483,1.9820575377285972,1.3226032257080078,16.92053985595703,4435586,0.7018386647105217
128,2,2,512,0.2,3e-05,32,True,True,True,False,0.578,0.42342712294043094,0.684910493850708,1.983594283705196,1.0715723037719727,16.92298126220703,4436226,0.704325869679451
128,2,2,512,0.2,3e-05,32,True,False,True,True,0.578,0.42342712294043094,0.6819275178909302,1.977686086029766,1.4103889465332031,16.41663360595703,4303490,0.6958274729549885
128,2,2,512,0.2,3e-05,32,True,False,True,False,0.578,0.42342712294043094,0.6830055351257325,1.9798192152840053,1.0066747665405273,16.41907501220703,4304130,0.6972618363797665
128,2,2,1024,0.1,3e-05,32,True,True,True,True,0.578,0.42342712294043094,0.682904595375061,1.9796193829117246,1.1722326278686523,18.42835235595703,4830850,0.6900519318878651
128,2,2,1024,0.1,3e-05,32,True,True,True,False,0.512,0.49866019668737055,0.6930216279029846,1.9997489104488886,1.0084867477416992,18.43079376220703,4831490,0.7048297263681889
